Time_Now,L_F,R_F,L_SPL,R_SPL,Max_SPL_L,Max_SPL_R,PeakRatio_L_R,Time_Delay,Sound_Dir,Loud?_LR,Sound_Dist
15:12:29,stereoCollect/shoe/a_27_1.wav,stereoCollect/shoe/a_27_0.wav,115.18851473906014,114.45486056733328,41,48.004566000000004,0.8540854217909187,0.0001784499999999997,39.036,R,98302.698
15:12:30,stereoCollect/shoe/a_28_1.wav,stereoCollect/shoe/a_28_0.wav,117.13161788688204,116.38044480168946,57,38.591906,1.4769936473207619,0.0002691499999999997,58.877,L,18493.775
15:12:31,stereoCollect/shoe/a_29_1.wav,stereoCollect/shoe/a_29_0.wav,114.35150611248571,113.97884902457959,47,31.061778,1.5131136408224926,-0.00011634000000000037,-25.449,L,174418.431
15:12:32,stereoCollect/shoe/a_30_1.wav,stereoCollect/shoe/a_30_0.wav,117.56482541077168,116.64627358193991,47,37.65064,1.2483187536785563,0.0005185899999999998,113.442,L,13715.461
15:12:33,stereoCollect/shoe/a_31_1.wav,stereoCollect/shoe/a_31_0.wav,123.09984753905921,121.64608788448378,90,76.242546,1.1804432658898878,0.00421473,921.972,L,168.426
15:12:34,stereoCollect/shoe/a_32_1.wav,stereoCollect/shoe/a_32_0.wav,118.1085461951646,116.8731061986498,53,45.180768,1.173065495478076,0.00373854,817.806,L,9875.572
15:12:35,stereoCollect/shoe/a_33_1.wav,stereoCollect/shoe/a_33_0.wav,119.36865145781853,118.9315772992995,76,67.771152,1.1214211025953933,0.0004052099999999996,88.64,L,2429.471
15:12:37,stereoCollect/shoe/a_34_1.wav,stereoCollect/shoe/a_34_0.wav,119.66814651050609,118.34267869038634,58,56.47596,1.0269856413242024,0.0008587199999999999,187.845,L,2743.384
15:12:38,stereoCollect/shoe/a_35_1.wav,stereoCollect/shoe/a_35_0.wav,119.07247187133757,118.22582243152073,51,58.358492000000005,0.873908804908804,6.506999999999954e-05,14.234,R,3702.507
15:12:39,stereoCollect/shoe/a_36_1.wav,stereoCollect/shoe/a_36_0.wav,115.7885307083177,115.41253489809337,42,35.768108000000005,1.1742304065957303,0.0004052099999999996,88.64,L,50000.512
15:12:40,stereoCollect/shoe/a_37_1.wav,stereoCollect/shoe/a_37_0.wav,117.08178922049855,116.53063377337061,43,40.474438,1.062398939300899,0.00394262,862.448,L,17715.94
15:12:41,stereoCollect/shoe/a_38_1.wav,stereoCollect/shoe/a_38_0.wav,115.19749441109445,114.62377142206007,38,37.65064,1.009278992335854,0.00038252999999999985,83.678,L,90977.993
15:12:42,stereoCollect/shoe/a_39_1.wav,stereoCollect/shoe/a_39_0.wav,119.2292728224702,118.80555125847998,57,45.180768,1.2615987404198175,0.00410135,897.17,L,2715.862
15:12:43,stereoCollect/shoe/a_40_1.wav,stereoCollect/shoe/a_40_0.wav,116.85298913671686,115.29141485018101,45,46.122034,0.9756724952763358,-2.9600000000006357e-06,-0.648,R,33276.349
15:12:44,stereoCollect/shoe/a_41_1.wav,stereoCollect/shoe/a_41_0.wav,117.38176502543224,116.07772465367441,46,38.591906,1.1919597855571062,4.238999999999979e-05,9.273,L,18914.915
15:12:45,stereoCollect/shoe/a_42_1.wav,stereoCollect/shoe/a_42_0.wav,113.8610567849746,114.00966598350516,36,42.356970000000004,0.8499191514407192,-0.00041112000000000006,-89.932,R,213355.874
15:12:46,stereoCollect/shoe/a_43_1.wav,stereoCollect/shoe/a_43_0.wav,118.6788021731785,117.69389401423047,49,42.356970000000004,1.1568344005720899,0.00446416,976.535,L,5473.016
15:12:47,stereoCollect/shoe/a_44_1.wav,stereoCollect/shoe/a_44_0.wav,117.27677567004525,116.81599058941258,48,46.122034,1.0407173282947582,-0.0001843600000000006,-40.329,L,14426.408
15:12:48,stereoCollect/shoe/a_45_1.wav,stereoCollect/shoe/a_45_0.wav,115.27793077293943,115.17821064176138,44,32.94431,1.335587237978273,0.00035984999999999967,78.717,L,69044.482
15:12:49,stereoCollect/shoe/a_46_1.wav,stereoCollect/shoe/a_46_0.wav,116.31474197644553,116.92076717420802,78,79.066344,0.9865133007794062,0.0001330999999999997,29.116,R,20820.47
15:12:50,stereoCollect/shoe/a_47_1.wav,stereoCollect/shoe/a_47_0.wav,115.85059400143656,115.83996157078258,46,38.591906,1.1919597855571062,0.00015576999999999952,34.075,L,40469.188
15:12:51,stereoCollect/shoe/a_48_1.wav,stereoCollect/shoe/a_48_0.wav,113.57866489091074,113.44048056876632,35,34.826842,1.0049719696089585,0.00042787999999999984,93.599,L,310248.101
15:12:52,stereoCollect/shoe/a_49_1.wav,stereoCollect/shoe/a_49_0.wav,118.1853293474906,117.96017508190519,43,37.65064,1.1420788597484663,0.0006319599999999996,138.241,L,6025.448
15:12:53,stereoCollect/shoe/a_50_1.wav,stereoCollect/shoe/a_50_0.wav,121.64726428046066,120.81365149892204,72,64.947354,1.1085901975313728,0.004350779999999999,951.733,L,430.312
15:12:54,stereoCollect/shoe/a_51_1.wav,stereoCollect/shoe/a_51_0.wav,119.85785541455584,119.55040477639636,59,57.417226,1.027566187192673,0.00403332,882.289,L,1527.723
15:12:56,stereoCollect/shoe/a_52_1.wav,stereoCollect/shoe/a_52_0.wav,119.81108029214664,119.28011896251975,57,56.47596,1.009278992335854,0.0016523699999999998,361.456,L,1744.209
15:12:57,stereoCollect/shoe/a_53_1.wav,stereoCollect/shoe/a_53_0.wav,118.30980627713834,118.1158208909805,60,61.18229,0.9806759439700606,1.971999999999998e-05,4.314,R,5351.834
15:12:58,stereoCollect/shoe/a_54_1.wav,stereoCollect/shoe/a_54_0.wav,116.50947388424746,117.21418625220548,36,48.004566000000004,0.7499286630359286,-9.366000000000062e-05,-20.488,R,16892.336
15:12:59,stereoCollect/shoe/a_55_1.wav,stereoCollect/shoe/a_55_0.wav,114.33745440073491,115.10255404108037,32,37.65064,0.8499191514407192,8.774999999999929e-05,19.195,R,107409.475
15:13:00,stereoCollect/shoe/a_56_1.wav,stereoCollect/shoe/a_56_0.wav,113.91944149246301,113.35601590838807,31,29.179246000000003,1.062398939300899,0.0002011199999999995,43.995,L,277142.763
15:13:01,stereoCollect/shoe/a_57_1.wav,stereoCollect/shoe/a_57_0.wav,112.60510265570329,113.04200695510117,29,40.474438,0.7165016102261877,6.506999999999954e-05,14.234,R,568826.869
15:13:02,stereoCollect/shoe/a_58_1.wav,stereoCollect/shoe/a_58_0.wav,114.0554333253825,113.801518559985,43,40.474438,1.062398939300899,-4.831000000000019e-05,-10.568,L,214649.188
15:13:03,stereoCollect/shoe/a_59_1.wav,stereoCollect/shoe/a_59_0.wav,113.39676173255519,113.55680961118762,31,43.298236,0.7159645025723449,-2.5630000000000444e-05,-5.607,R,319341.58
